Title,status,difficulty,frequency,tags,link
Two Sum,SOLVED,EASY,48.2,Array; Hash Table,https://leetcode.com/problems/two-sum/
Median of Two Sorted Arrays,SOLVED,HARD,78.3,Array; Binary Search; Divide and Conquer,https://leetcode.com/problems/median-of-two-sorted-arrays/
Container With Most Water,SOLVED,MEDIUM,48.2,Array; Two Pointers; Greedy,https://leetcode.com/problems/container-with-most-water/
Search in Rotated Sorted Array,SOLVED,MEDIUM,54.3,Array; Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array/
Trapping Rain Water,SOLVED,HARD,100,Array; Two Pointers; Dynamic Programming; Stack; Monotonic Stack,https://leetcode.com/problems/trapping-rain-water/
Subarray Sum Equals K,SOLVED,MEDIUM,31.6,Array; Hash Table; Prefix Sum,https://leetcode.com/problems/subarray-sum-equals-k/
High Five,TO_DO,EASY,73.5,Array; Hash Table; Sorting; Heap (Priority Queue),https://leetcode.com/problems/high-five/
Decode Ways,SOLVED,MEDIUM,48.2,String; Dynamic Programming,https://leetcode.com/problems/decode-ways/
Best Time to Buy and Sell Stock II,SOLVED,MEDIUM,48.2,Array; Dynamic Programming; Greedy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
First Unique Character in a String,TO_DO,EASY,77.6,Hash Table; String; Queue; Counting,https://leetcode.com/problems/first-unique-character-in-a-string/
Find the Winner of the Circular Game,TO_DO,MEDIUM,58.9,Array; Math; Recursion; Queue; Simulation,https://leetcode.com/problems/find-the-winner-of-the-circular-game/
Fraction to Recurring Decimal,TO_DO,MEDIUM,76.1,Hash Table; Math; String,https://leetcode.com/problems/fraction-to-recurring-decimal/
String Compression,TO_DO,MEDIUM,56.7,Two Pointers; String,https://leetcode.com/problems/string-compression/
Construct Smallest Number From DI String,TO_DO,MEDIUM,38.9,String; Backtracking; Stack; Greedy,https://leetcode.com/problems/construct-smallest-number-from-di-string/
Longest Substring Without Repeating Characters,SOLVED,MEDIUM,60.8,Hash Table; String; Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Group Anagrams,SOLVED,MEDIUM,51.5,Array; Hash Table; String; Sorting,https://leetcode.com/problems/group-anagrams/
String to Integer (atoi),SOLVED,MEDIUM,38.9,String,https://leetcode.com/problems/string-to-integer-atoi/
Merge Intervals,SOLVED,MEDIUM,44.1,Array; Sorting,https://leetcode.com/problems/merge-intervals/
Kth Largest Element in an Array,SOLVED,MEDIUM,44.1,Array; Divide and Conquer; Sorting; Heap (Priority Queue); Quickselect,https://leetcode.com/problems/kth-largest-element-in-an-array/
LRU Cache,SOLVED,MEDIUM,62.6,Hash Table; Linked List; Design; Doubly-Linked List,https://leetcode.com/problems/lru-cache/
Number of Islands,SOLVED,MEDIUM,54.3,Array; Depth-First Search; Breadth-First Search; Union Find; Matrix,https://leetcode.com/problems/number-of-islands/
Top K Frequent Elements,SOLVED,MEDIUM,44.1,Array; Hash Table; Divide and Conquer; Sorting; Heap (Priority Queue); Bucket Sort; Counting; Quickselect,https://leetcode.com/problems/top-k-frequent-elements/
Optimal Account Balancing,TO_DO,HARD,44.1,Array; Dynamic Programming; Backtracking; Bit Manipulation; Bitmask,https://leetcode.com/problems/optimal-account-balancing/
Pascal's Triangle,SOLVED,EASY,48.2,Array; Dynamic Programming,https://leetcode.com/problems/pascals-triangle/
Binary Tree Cameras,TO_DO,HARD,44.1,Dynamic Programming; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-cameras/
Coin Change,TO_DO,MEDIUM,44.1,Array; Dynamic Programming; Breadth-First Search,https://leetcode.com/problems/coin-change/
Remove All Occurrences of a Substring,TO_DO,MEDIUM,31.6,String; Stack; Simulation,https://leetcode.com/problems/remove-all-occurrences-of-a-substring/
Find Minimum in Rotated Sorted Array,SOLVED,MEDIUM,62.6,Array; Binary Search,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Minimum Path Sum,TO_DO,MEDIUM,71.6,Array; Dynamic Programming; Matrix,https://leetcode.com/problems/minimum-path-sum/
Valid Parentheses,SOLVED,EASY,31.6,String; Stack,https://leetcode.com/problems/valid-parentheses/
Two Sum IV - Input is a BST,TO_DO,EASY,31.6,Hash Table; Two Pointers; Tree; Depth-First Search; Breadth-First Search; Binary Search Tree; Binary Tree,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
Longest Consecutive Sequence,ATTEMPTED,MEDIUM,38.9,Array; Hash Table; Union Find,https://leetcode.com/problems/longest-consecutive-sequence/
Search a 2D Matrix,SOLVED,MEDIUM,38.9,Array; Binary Search; Matrix,https://leetcode.com/problems/search-a-2d-matrix/
Product of Array Except Self,SOLVED,MEDIUM,38.9,Array; Prefix Sum,https://leetcode.com/problems/product-of-array-except-self/
K-th Symbol in Grammar,TO_DO,MEDIUM,31.6,Math; Bit Manipulation; Recursion,https://leetcode.com/problems/k-th-symbol-in-grammar/
Power of Three,TO_DO,EASY,31.6,Math; Recursion,https://leetcode.com/problems/power-of-three/
Check if the Sentence Is Pangram,TO_DO,EASY,51.5,Hash Table; String,https://leetcode.com/problems/check-if-the-sentence-is-pangram/
Longest Repeating Character Replacement,TO_DO,MEDIUM,44.1,Hash Table; String; Sliding Window,https://leetcode.com/problems/longest-repeating-character-replacement/
Identify the Largest Outlier in an Array,TO_DO,MEDIUM,44.1,Array; Hash Table; Counting; Enumeration,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array/
Asteroid Collision,SOLVED,MEDIUM,38.9,Array; Stack; Simulation,https://leetcode.com/problems/asteroid-collision/
Find the Minimum Amount of Time to Brew Potions,TO_DO,MEDIUM,62.6,Array; Simulation; Prefix Sum,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/
Design Circular Deque,TO_DO,MEDIUM,38.9,Array; Linked List; Design; Queue,https://leetcode.com/problems/design-circular-deque/
Palindrome Pairs,TO_DO,HARD,31.6,Array; Hash Table; String; Trie,https://leetcode.com/problems/palindrome-pairs/
Consecutive Characters,TO_DO,EASY,44.1,String,https://leetcode.com/problems/consecutive-characters/
Knight Probability in Chessboard,TO_DO,MEDIUM,38.9,Dynamic Programming,https://leetcode.com/problems/knight-probability-in-chessboard/
Count Number of Teams,TO_DO,MEDIUM,31.6,Array; Dynamic Programming; Binary Indexed Tree; Segment Tree,https://leetcode.com/problems/count-number-of-teams/
Sqrt(x),TO_DO,EASY,31.6,Math; Binary Search,https://leetcode.com/problems/sqrtx/
