Title,status,difficulty,frequency,tags,link
Valid Palindrome II,SOLVED,EASY,100,Two Pointers; String; Greedy,https://leetcode.com/problems/valid-palindrome-ii/
Minimum Remove to Make Valid Parentheses,SOLVED,MEDIUM,99.1,String; Stack,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
Binary Tree Right Side View,SOLVED,MEDIUM,95.1,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-right-side-view/
Random Pick with Weight,SOLVED,MEDIUM,93.9,Array; Math; Binary Search; Prefix Sum; Randomized,https://leetcode.com/problems/random-pick-with-weight/
Kth Largest Element in an Array,SOLVED,MEDIUM,90.2,Array; Divide and Conquer; Sorting; Heap (Priority Queue); Quickselect,https://leetcode.com/problems/kth-largest-element-in-an-array/
Valid Word Abbreviation,SOLVED,EASY,90.2,Two Pointers; String,https://leetcode.com/problems/valid-word-abbreviation/
Merge Intervals,SOLVED,MEDIUM,88.8,Array; Sorting,https://leetcode.com/problems/merge-intervals/
Nested List Weight Sum,SOLVED,MEDIUM,88.8,Depth-First Search; Breadth-First Search,https://leetcode.com/problems/nested-list-weight-sum/
Binary Tree Vertical Order Traversal,SOLVED,MEDIUM,87.4,Hash Table; Tree; Depth-First Search; Breadth-First Search; Sorting; Binary Tree,https://leetcode.com/problems/binary-tree-vertical-order-traversal/
"Pow(x, n)",SOLVED,MEDIUM,82.4,Math; Recursion,https://leetcode.com/problems/powx-n/
Merge Sorted Array,SOLVED,EASY,82.4,Array; Two Pointers; Sorting,https://leetcode.com/problems/merge-sorted-array/
Top K Frequent Elements,SOLVED,MEDIUM,82.4,Array; Hash Table; Divide and Conquer; Sorting; Heap (Priority Queue); Bucket Sort; Counting; Quickselect,https://leetcode.com/problems/top-k-frequent-elements/
Lowest Common Ancestor of a Binary Tree III,SOLVED,MEDIUM,82.4,Hash Table; Two Pointers; Tree; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
Basic Calculator II,SOLVED,MEDIUM,80.4,Math; String; Stack,https://leetcode.com/problems/basic-calculator-ii/
Dot Product of Two Sparse Vectors,SOLVED,MEDIUM,80.4,Array; Hash Table; Two Pointers; Design,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/
Find First and Last Position of Element in Sorted Array,SOLVED,MEDIUM,78.3,Array; Binary Search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Simplify Path,SOLVED,MEDIUM,76,String; Stack,https://leetcode.com/problems/simplify-path/
Find Peak Element,SOLVED,MEDIUM,76,Array; Binary Search,https://leetcode.com/problems/find-peak-element/
