Title,status,difficulty,frequency,tags,link
Minimum Remove to Make Valid Parentheses,SOLVED,MEDIUM,100,String; Stack,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
Valid Palindrome II,SOLVED,EASY,98.5,Two Pointers; String; Greedy,https://leetcode.com/problems/valid-palindrome-ii/
Valid Word Abbreviation,SOLVED,EASY,97.3,Two Pointers; String,https://leetcode.com/problems/valid-word-abbreviation/
Binary Tree Vertical Order Traversal,SOLVED,MEDIUM,94.1,Hash Table; Tree; Depth-First Search; Breadth-First Search; Sorting; Binary Tree,https://leetcode.com/problems/binary-tree-vertical-order-traversal/
Kth Largest Element in an Array,SOLVED,MEDIUM,93.4,Array; Divide and Conquer; Sorting; Heap (Priority Queue); Quickselect,https://leetcode.com/problems/kth-largest-element-in-an-array/
Nested List Weight Sum,SOLVED,MEDIUM,89.8,Depth-First Search; Breadth-First Search,https://leetcode.com/problems/nested-list-weight-sum/
Basic Calculator II,SOLVED,MEDIUM,89.5,Math; String; Stack,https://leetcode.com/problems/basic-calculator-ii/
Random Pick with Weight,SOLVED,MEDIUM,89.5,Array; Math; Binary Search; Prefix Sum; Randomized,https://leetcode.com/problems/random-pick-with-weight/
Lowest Common Ancestor of a Binary Tree,SOLVED,MEDIUM,86.9,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
Lowest Common Ancestor of a Binary Tree III,SOLVED,MEDIUM,86.6,Hash Table; Two Pointers; Tree; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
Find Peak Element,SOLVED,MEDIUM,85.9,Array; Binary Search,https://leetcode.com/problems/find-peak-element/
Binary Tree Right Side View,SOLVED,MEDIUM,85.5,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-right-side-view/
Subarray Sum Equals K,SOLVED,MEDIUM,84.8,Array; Hash Table; Prefix Sum,https://leetcode.com/problems/subarray-sum-equals-k/
Diameter of Binary Tree,SOLVED,EASY,84.4,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/
Merge Intervals,SOLVED,MEDIUM,84,Array; Sorting,https://leetcode.com/problems/merge-intervals/
Two Sum,SOLVED,EASY,83.6,Array; Hash Table,https://leetcode.com/problems/two-sum/
"Pow(x, n)",SOLVED,MEDIUM,83.2,Math; Recursion,https://leetcode.com/problems/powx-n/
Simplify Path,SOLVED,MEDIUM,82.3,String; Stack,https://leetcode.com/problems/simplify-path/
Top K Frequent Elements,SOLVED,MEDIUM,81.9,Array; Hash Table; Divide and Conquer; Sorting; Heap (Priority Queue); Bucket Sort; Counting; Quickselect,https://leetcode.com/problems/top-k-frequent-elements/
Buildings With an Ocean View,SOLVED,MEDIUM,81.4,Array; Stack; Monotonic Stack,https://leetcode.com/problems/buildings-with-an-ocean-view/
Best Time to Buy and Sell Stock,SOLVED,EASY,79.1,Array; Dynamic Programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Sum Root to Leaf Numbers,SOLVED,MEDIUM,78,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/sum-root-to-leaf-numbers/
Shortest Path in Binary Matrix,SOLVED,MEDIUM,78,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/
Dot Product of Two Sparse Vectors,SOLVED,MEDIUM,76.9,Array; Hash Table; Two Pointers; Design,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/
Range Sum of BST,SOLVED,EASY,75.8,Tree; Depth-First Search; Binary Search Tree; Binary Tree,https://leetcode.com/problems/range-sum-of-bst/
Next Permutation,SOLVED,MEDIUM,74.6,Array; Two Pointers,https://leetcode.com/problems/next-permutation/
Valid Palindrome,SOLVED,EASY,74.6,Two Pointers; String,https://leetcode.com/problems/valid-palindrome/
