Title,status,frequency,tags,link
Two Sum,SOLVED,100,Array; Hash Table,https://leetcode.com/problems/two-sum/
Create Hello World Function,TO_DO,99.5,,https://leetcode.com/problems/create-hello-world-function/
Valid Word Abbreviation,TO_DO,99,Two Pointers; String,https://leetcode.com/problems/valid-word-abbreviation/
Binary Tree Vertical Order Traversal,TO_DO,98.5,Hash Table; Tree; Depth-First Search; Breadth-First Search; Sorting; Binary Tree,https://leetcode.com/problems/binary-tree-vertical-order-traversal/
Minimum Remove to Make Valid Parentheses,SOLVED,98.2,String; Stack,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
LRU Cache,ATTEMPTED,98.2,Hash Table; Linked List; Design; Doubly-Linked List,https://leetcode.com/problems/lru-cache/
Lowest Common Ancestor of a Binary Tree III,TO_DO,97.7,Hash Table; Two Pointers; Tree; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
Nested List Weight Sum,TO_DO,97.4,Depth-First Search; Breadth-First Search,https://leetcode.com/problems/nested-list-weight-sum/
Merge Strings Alternately,TO_DO,96.9,Two Pointers; String,https://leetcode.com/problems/merge-strings-alternately/
Trapping Rain Water,SOLVED,96.6,Array; Two Pointers; Dynamic Programming; Stack; Monotonic Stack,https://leetcode.com/problems/trapping-rain-water/
Max Stack,TO_DO,96.5,Linked List; Stack; Design; Doubly-Linked List; Ordered Set,https://leetcode.com/problems/max-stack/
Basic Calculator II,SOLVED,96.2,Math; String; Stack,https://leetcode.com/problems/basic-calculator-ii/
Best Time to Buy and Sell Stock,SOLVED,95.7,Array; Dynamic Programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Random Pick with Weight,SOLVED,95.3,Array; Math; Binary Search; Prefix Sum; Randomized,https://leetcode.com/problems/random-pick-with-weight/
Merge Intervals,SOLVED,95.1,Array; Sorting,https://leetcode.com/problems/merge-intervals/
Number of Islands,SOLVED,94.6,Array; Depth-First Search; Breadth-First Search; Union Find; Matrix,https://leetcode.com/problems/number-of-islands/
Buildings With an Ocean View,TO_DO,94.4,Array; Stack; Monotonic Stack,https://leetcode.com/problems/buildings-with-an-ocean-view/
Merge Sorted Array,SOLVED,94,Array; Two Pointers; Sorting,https://leetcode.com/problems/merge-sorted-array/
Valid Parentheses,SOLVED,93.6,String; Stack,https://leetcode.com/problems/valid-parentheses/
Recyclable and Low Fat Products,TO_DO,93.2,Database,https://leetcode.com/problems/recyclable-and-low-fat-products/
Valid Palindrome II,SOLVED,93.1,Two Pointers; String; Greedy,https://leetcode.com/problems/valid-palindrome-ii/
Palindrome Number,SOLVED,92.6,Math,https://leetcode.com/problems/palindrome-number/
Longest Substring Without Repeating Characters,SOLVED,92.1,Hash Table; String; Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Longest Palindromic Substring,SOLVED,91.6,Two Pointers; String; Dynamic Programming,https://leetcode.com/problems/longest-palindromic-substring/
Nested List Weight Sum II,TO_DO,91.5,Stack; Depth-First Search; Breadth-First Search,https://leetcode.com/problems/nested-list-weight-sum-ii/
