name,link,status
How to solve TWO Leetcode Hards in an interview,https://www.youtube.com/watch?v=0saAgChcIck,Not Started
What Big Tech Ask Instead of Leetcode 691,https://www.youtube.com/watch?v=OQcdKHIpKAk,Not Started
Insert Into a Circular Sorted Linked List || Leetcode 708 || 1 Variant that Big Tech Asks,https://www.youtube.com/watch?v=l2La51NUyY8,Not Started
Making A Large Island || Leetcode 827 || 1 Variant that Big Tech Asks,https://www.youtube.com/watch?v=o0_kxVzjL70,Not Started
Exclusive Time of Functions || Leetcode 636 || 1 Variant that Big Tech Asks,https://www.youtube.com/watch?v=XfBLcts1c3k,Not Started
Monotonic Array || Leetcode 896 || 1 Variant that Big Tech Asks,https://www.youtube.com/watch?v=YWd0aSa-cSI,Not Started
Can Place Flowers || Leetcode 605 || 1 Variant that Big Tech Asks,https://www.youtube.com/watch?v=91p8-bDD918,Not Started
Meta asks Dynamic Programming Questions??,https://www.youtube.com/watch?v=Z966EO3s6E0,Not Started
Nested List Weight Sum || Leetcode 339 || 2 Variants that Big Tech Asks,https://www.youtube.com/watch?v=g-rWjg3nFkI,Not Started
Meta asks this Unknown Leetcode problem! (Kth Smallest Digit Sums),https://www.youtube.com/watch?v=WPQ0i0CKIIg,Not Started
2 NEW VARIANTS || Max Consecutive Ones 3 || Leetcode 1004,https://www.youtube.com/watch?v=moTN6h5QkP8,Not Started
"POW(x, n) || Leetcode 50 || Follow-up Question Big Tech Actually Asks",https://www.youtube.com/watch?v=i1Ou9PCQUBI,Not Started
Microsoft & Meta ask this UNKNOWN Leetcode Problem! (Skiplist),https://www.youtube.com/watch?v=k0iAhKeLSD4,Not Started
Remove Nth Node From End of List || Leetcode 19 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=o-vpExAWkgA,Not Started
Big Tech ask this UNKNOWN Leetcode Problem! (Draw Circle),https://www.youtube.com/watch?v=irSlt5kJS0A,Not Started
Valid Word Abbreviation || Leetcode 408 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=ALDB1fi65U8,Not Started
Design Tic-Tac-Toe || Leetcode 348 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=BuoP3RlH3Q4,Not Started
Kth Missing Positive Number || Leetcode 1539 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=9L2jd7mSeV8,Not Started
LRU Cache || Leetcode 146 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=LZgDpjCIHm0,Not Started
Group Shifted Strings || Leetcode 249 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=uEOaAs-KY3M,Not Started
Robot Room Cleaner || Leetcode 489 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=vQZZSeuDRto,Not Started
Basic Calculator 2 || Leetcode 227 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=G2AZJDkh6_E,Not Started
Closest Binary Search Tree Value || Leetcode 270 || Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=atHrOx3ibas,Not Started
Vertical Order Traversal of a Binary Tree || Leetcode 987 || 2 Variant Questions Big Tech Asks,https://www.youtube.com/watch?v=m19-r7hswx0,Not Started
